자치구명,위치,Latitude,Longitude
중구,서울특별시 중구 시청삼거리 서울시청 버스정류장,37.566065,126.982679
중구,"서울특별시 중구 을지로입구, 로얄호텔 버스정류장",37.565938,126.985296
중구,"서울특별시 중구 을지로2가, 기업은행본점 앞 버스정류장",37.5664541,126.9865526
중구,서울특별시 중구 명동역 4번출구 버스정류장,,
중구,"서울특별시 중구 을지로2가, 파인에비뉴 앞 버스정류장",37.566057,126.988582
중구,서울특별시 중구 무교동 17-17 버거킹 옆,37.5673592,126.9790672
중구,서울특별시 중구 시청역 11번출구 앞,37.5657037,126.9768616
중구,서울특별시 중구 을지로3가 버스정류장,37.566288,126.991051
중구,서울특별시 중구 엠버서더 호텔 옆 횡단보도,37.5661587,127.0042591
중구,서울특별시 중구 충무로역 1번출구 대한극장 앞,37.5610574,126.9953257
중구,서울특별시 중구 충무로 해센스마트 앞,37.5611189,126.9984676
중구,서울특별시 중구 베아오페라 예술학원 앞,37.4868798,127.0323781
중구,서울특별시 중구 명동역 3번출구 버스정류장,,
중구,"서울특별시 중구 동대입구역, 장충동 버스정류장",37.558126,127.005316
중구,서울특별시 중구 약수역 2번출구 버스정류장,37.55584,127.01105
중구,서울특별시 중구 약수역 3번출구 버스정류장,37.555888,127.011412
중구,서울특별시 중구 황학동 어린이집,37.5659102,127.0217363
중구,서울특별시 중구 황학동곱창골목,37.5701461,127.0196829
중구,서울특별시 중구 남산타운 버티고개역 3번출구,37.548111,127.00714
중구,서울특별시 중구 제일평화 시장,37.5684231,127.011236
중구,서울특별시 중구 필동 서애로길,37.5596265,126.9978696
중구,서울특별시 중구 필동로 CJ인재원,37.559175,126.995635
중구,서울특별시 중구 동아빌딩앞 버스정류장,37.564832,126.998174
중구,서울특별시 중구 남대문시장길,37.560214,126.9775521
중구,서울특별시 용산구 원효2동 산호아파트(현대자동차써비스센터방면) 버스정류장(03-299),37.534457,126.95141
용산구,서울특별시 용산구 원효로4가 현대자동차써비스(원효로3가방면) 버스정류장(03-301),37.5314868,126.9513285
용산구,서울특별시 용산구 목월공원 앞,37.53232,126.9548175
용산구,서울특별시 용산구 원효로 3가 시범아파트 버스정류장(03-146),37.5347545,126.95735
용산구,서울특별시 용산구 원효로1가 45 (유닉스빌딩앞 버스정류장(03-140),37.5395144,126.9685038
용산구,서울특별시 용산구 원효로 3가 우리 이비인후과 앞(원효아파트앞횡단보도),37.5347545,126.95735
용산구,서울특별시 용산구 원효로 2가 사거리 열린동물병원앞,37.5355939,126.9617498
용산구,서울특별시 용산구 (구)용산구청앞 사거리 (우리은행) 횡단보도,37.5384272,126.9654442
용산구,서울특별시 용산구 용산경찰서 입구(GS25 편의점앞),37.5253733,126.9639419
용산구,서울특별시 용산구 선린인터넷고등학교 입구( CU편의점앞 ),37.5451514,126.9733807
용산구,서울특별시 용산구 (구)용산구청 보건분소앞 사거리(해오름공인중개사),37.5323504,126.9903613
용산구,서울특별시 용산구 소화아동병원앞(택시정류장),37.5537029,126.9686375
용산구,서울특별시 용산구 청파동(서계동방면) 버스정류장(03-126),37.551608,126.969255
용산구,"서울특별시 용산구 숙대입구역,청파동주민센터(세운할인마트앞)버스정류장(13-129)",37.545512,126.970708
용산구,서울특별시 용산구 숙대입구역• 청파동주민센터버스정류장(03-128),37.5442985,126.9704142
용산구,서울특별시 용산구 갈월동종합사회복지관 택시정류장,37.5457492,126.9749059
용산구,서울특별시 용산구 용산고등학교 앞 사거리( 구두 수선앞),37.545593,126.9798033
용산구,서울특별시 용산구 스마일치과의원 건너편 버스정류장(03-203),37.5008851,127.0266287
용산구,서울특별시 용산구 SC제일은행앞 버스정류장(03-201),37.5499535,126.9775534
용산구,서울특별시 용산구 후암시장(삼강의원방면) 버스정류장(03-200),37.5502034,126.9764424
용산구,서울특별시 용산구 후암삼거리 버스정류장(03-199) 클라라 잡화,37.552591,126.976552
용산구,서울특별시 용산구 진흥빌딩 앞 마을버스정류장,37.5966303,127.0326182
용산구,서울특별시 용산구 진흥빌딩 건너편 그랜드아파트 횡단보도앞,37.5483981,126.9775812
용산구,서울특별시 용산구 원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구),37.540597,126.971171
용산구,"서울특별시 용산구 전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-252,03-558)",37.52874,126.967182
용산구,서울특별시 용산구 용산전자상가 삼구빌딩 하나은행(원효대교북단방면) 버스정류장(03-138),37.5336111,126.9641667
용산구,서울특별시 용산구 삼각지 고가 등기소 건너편 마을버스정류장(03-552),37.5350315,126.9734515
용산구,서울특별시 용산구 (구)용산구청 보건분소 앞 횡단보도,37.5323504,126.9903613
