위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용,cluster
서울특별시 강서구 송정역(중앙차로),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 송정역(중)(16-014),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡중앙5로 6 마곡나루역 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 송정로3길 3 공항동주민센터 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천초등학교16-270,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 마곡역7번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 염창동새마을금고16-248,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양역3번출구쪽,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 까치산역 16-192,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 송정역 4번출구앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡실내배드민턴장(16-274),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡실내배드민턴장(16-273),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 롯데R&D센터(16-608),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 염창동주유소앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 서남환경공원마곡 16-278,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡중앙5로 6 마곡나루역 2번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 정보화진흥공단,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡시장16-145,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 용문사.시립화곡청소년수련관 버스정류장(16-177),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 골프장16-558,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 성석교회(16-181),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양한강타운아파트16-227,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서면허시험장메이필드호텔 정류장(16-153),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양3동주민센터 버스정류장(16-242),강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 서울디지털대학교 버스정류장(16-007),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 증미역2번출구,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 KT가양지사16-223,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양역4번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 SBS공개홀 버스정류장(16-261),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡8동주민센터.까치산시장(16-185),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 등촌중학교16-104,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공진중학교16-233,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 세민정보고등학교16-306,강서구,0,38,2949.5,2213.8,0
"서울특별시 강서구 블루나인비지니스센터,이마트16-253",강서구,2,38,2949.5,2213.8,2
서울특별시 강서구 경복여고16-138,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 한국가스공사16-109,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 화곡역.현대주유소 16-205,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 개화동로21길 4 방화동도시개발11단지 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡역 버스정류장(16-398),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡중고등학교16-212,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡나루역 버스정류장(16-396),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양역 우성아파트 버스정류장(16-260),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청앞1,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항대로 마곡역 1번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡엠벨리7단지앞 마을버스정류장(마곡동767-6),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천로 108 하나은행 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 KT강서지사(16-186),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천향교역 1번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 그랜드마트 정류장앞16-337,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 허준로 139 강변아파트 버스정류장,강서구,1,38,2949.5,2213.8,2
