공원명,공원주소,관리부서,시도,위치,자치구명,자치구명 (자치구별 데이터.Csv),지역,1인당 배출량,Latitude,Longitude,X좌표(Wgs84),Y좌표(Wgs84),가로쓰레기통 개수,공원 개수,기간,기타,매립,면적,면적 (자치구별 데이터.Csv),면적당 배출량,미세먼지(㎍/㎥),배출량(C),소각,아황산가스(Ppm),오존(Ppm),이산화질소(Ppm),인구,일산화탄소(Ppm),재활용,초미세먼지(㎍/㎥)
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 창포원 남측입구,도봉구,도봉구,도봉구,0.002400851,37.6893333,127.0481194,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 우체국 앞 횡단보도,영등포구,영등포구,영등포구,0.006374537,37.5164685,126.9061909,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
초안산근린공원,서울특별시 도봉구 창동 산157,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 창일중 앞,도봉구,도봉구,도봉구,0.002400851,37.6481094,127.0471549,127.0455446,37.648316,235,6,2020,42.8,60.4,664905,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
월천근린공원,서울특별시 도봉구 창동 28번지,공원녹지과,서울특별시,서울특별시 도봉구 창일중 앞,도봉구,도봉구,도봉구,0.002400851,37.6481094,127.0471549,127.0509895,37.6473889,235,6,2020,42.8,60.4,10712,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
초안산근린공원,서울특별시 도봉구 창동 산157,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 정보도서관 건너편,도봉구,도봉구,도봉구,0.002400851,37.6444775,127.0439719,127.0455446,37.648316,235,6,2020,42.8,60.4,664905,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
초안산생태공원,서울특별시 도봉구 창동 산24,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 정보도서관 건너편,도봉구,도봉구,도봉구,0.002400851,37.6444775,127.0439719,127.0405382,37.6479483,235,6,2020,42.8,60.4,22113,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
중마루근린공원,서울특별시 영등포구 영등포동2가 222,영등포구청 푸른도시과,서울특별시,"서울특별시 영등포구 근로복지공단,서울남부지사 버스정류장(19-557)",영등포구,영등포구,영등포구,0.006374537,37.5203245,126.9136406,126.9112668,37.519832,183,5,2020,6.6,63.7,6456,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
초안산근린공원,서울특별시 도봉구 창동 산157,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 창일중 건너편,도봉구,도봉구,도봉구,0.002400851,37.6481094,127.0471549,127.0455446,37.648316,235,6,2020,42.8,60.4,664905,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
중마루근린공원,서울특별시 영등포구 영등포동2가 222,영등포구청 푸른도시과,서울특별시,"서울특별시 영등포구 근로복지공단,서울남부지사 버스정류장(19-558)",영등포구,영등포구,영등포구,0.006374537,37.5203245,126.9136406,126.9112668,37.519832,183,5,2020,6.6,63.7,6456,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
월천근린공원,서울특별시 도봉구 창동 28번지,공원녹지과,서울특별시,서울특별시 도봉구 창일중 건너편,도봉구,도봉구,도봉구,0.002400851,37.6481094,127.0471549,127.0509895,37.6473889,235,6,2020,42.8,60.4,10712,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
솔밭근린공원,서울특별시 강북구 우이동 80번지 일대,강북구청 푸른도시과,서울특별시,서울특별시 도봉구 덕성여대후문,도봉구,도봉구,강북구,0.002400851,37.652627,127.017146,127.0116241,37.652331,235,6,2020,42.8,60.4,34955,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
중마루근린공원,서울특별시 영등포구 영등포동2가 222,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 신길역 버스정류장(19-279),영등포구,영등포구,영등포구,0.006374537,37.518467,126.914891,126.9112668,37.519832,183,5,2020,6.6,63.7,6456,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
