위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용
서울특별시 강동구 리버파크10단지,강동구,0,37,4555.5,4356.1
서울특별시 중랑구 중화역1-2(07-108),중랑구,0,33,1585.9,1461.3
서울특별시 동대문구 한천로 111,동대문구,1,33,1367.2,1234.7
서울특별시 서초구 반포구립도서관 앞 버스정류장,서초구,0,39,3801.7,3566.8
서울특별시 동작구 도깨비시장 앞,동작구,0,40,1514.3,1410.9
서울특별시 용산구 금양초등학교앞횡단보도,용산구,1,36,1140.8,1009.6
서울특별시 구로구 가마산로282,구로구,0,37,1333.4,1111.4
서울특별시 노원구 상계1동 1023-1 앞,노원구,0,36,1591.5,1366.8
"서울특별시 성북구 정릉로 26길 1 정릉2동 주미센타앞
버스정류장",성북구,0,34,1354.6,1247.6
서울특별시 서초구 한신16차아파트 앞 버스정류장,서초구,0,39,3801.7,3566.8
서울특별시 구로구 개봉로 60,구로구,0,37,1333.4,1111.4
서울특별시 구로구 가마산로 245(정문),구로구,0,37,1333.4,1111.4
서울특별시 구로구 디지털로27길 135,구로구,0,37,1333.4,1111.4
서울특별시 성동구 용답동228-5,성동구,0,34,2181.2,1442.1
서울특별시 강남구 서광그린주유소,강남구,0,32,3718,3059.5
서울특별시 영등포구 영등포역 버스중앙차로(19-005),영등포구,1,34,2556.1,2377.5
서울특별시 서대문구 연세로 31,서대문구,0,32,1604.9,1490.7
서울특별시 마포구 만리재로 22,마포구,0,34,1979.4,1753.4
서울특별시 강남구 수서동 삼익아파트 401동 앞,강남구,0,32,3718,3059.5
서울특별시 성북구 정릉로 161 고려중학교앞 버스정류장,성북구,0,34,1354.6,1247.6
서울특별시 관악구 산복터널,관악구,0,35,1666.5,1533.2
서울특별시 동작구 사당로23길 56,동작구,1,40,1514.3,1410.9
서울특별시 송파구 잠실5단지 522동 앞 공항버스 정류장,송파구,0,34,2353.1,2041.2
서울특별시 광진구 아차산역 사거리 - (구)삼일주유소 앞,광진구,0,33,1379.4,1290.4
서울특별시 송파구 파크리오(아) 101동 앞,송파구,0,34,2353.1,2041.2
서울특별시 송파구 거여역 3번 출구,송파구,0,34,2353.1,2041.2
서울특별시 용산구 진흥빌딩 건너편 그랜드아파트 횡단보도앞,용산구,0,36,1140.8,1009.6
서울특별시 노원구 공릉2동 육사후문 앞 버스정류장,노원구,0,36,1591.5,1366.8
서울특별시 도봉구 먹거리부페 앞,도봉구,0,35,805.8,624.4
서울특별시 금천구 시흥대로410(금천우체국 버스정류장),금천구,0,35,1936.9,1798.5
서울특별시 서대문구 연세로 22,서대문구,0,32,1604.9,1490.7
서울특별시 송파구 한솔병원앞 버스중앙차로(하행),송파구,0,34,2353.1,2041.2
서울특별시 성동구 성수동2가315-1,성동구,1,34,2181.2,1442.1
서울특별시 서대문구 남가좌2동 거북골로174 맞은편(13183),서대문구,0,32,1604.9,1490.7
서울특별시 동작구 한강쌍용아파트 파출소앞(9호선노들역4번출구),영등포구,1,34,2556.1,2377.5
서울특별시 강동구 올림픽로624 (성내동78-1 프라자약국 앞),강동구,0,37,4555.5,4356.1
서울특별시 도봉구 도봉산역 3번출구,도봉구,1,35,805.8,624.4
서울특별시 구로구 디지털로 273,구로구,0,37,1333.4,1111.4
서울특별시 강남구 대치동 한티근린공원,강남구,0,32,3718,3059.5
서울특별시 마포구 마포대로 213 애오개역 1번출구앞,마포구,0,34,1979.4,1753.4
서울특별시 서대문구 신촌동 신촌역로27(13210),서대문구,0,32,1604.9,1490.7
서울특별시 강남구 수서동 북주차장,강남구,0,32,3718,3059.5
서울특별시 동대문구 장안동 473-5,동대문구,0,33,1367.2,1234.7
서울특별시 강남구 강남역 2번출구 앞,강남구,0,32,3718,3059.5
서울특별시 송파구 거여역 2번출구,송파구,0,34,2353.1,2041.2
서울특별시 강북구 삼각산로115,강북구,0,32,851,772.1
서울특별시 강남구 삼성역8번 출구,강남구,0,32,3718,3059.5
서울특별시 강동구 리버파크9단지 정문(29)앞,강동구,0,37,4555.5,4356.1
서울특별시 서초구 양재시민의숲역 1번 출구 앞 버스정류장,서초구,1,39,3801.7,3566.8
서울특별시 구로구 공원로51,구로구,0,37,1333.4,1111.4
서울특별시 성동구 성수동2가300-1,성동구,1,34,2181.2,1442.1
서울특별시 강서구 국립국어원16-133,강서구,2,38,2949.5,2213.8
서울특별시 강남구 대치동 1009-5,강남구,0,32,3718,3059.5
"서울특별시 양천구 목3동,600-2호,공중전화부스앞",양천구,0,39,1107.7,923.9
서울특별시 강남구 역삼동 역삼역 1번출구,강남구,0,32,3718,3059.5
서울특별시 서대문구 통일로 영천시장 (13036),서대문구,0,32,1604.9,1490.7
서울특별시 영등포구 영등포로208 국민은행앞,영등포구,0,34,2556.1,2377.5
서울특별시 강동구 800 앞 도로,강동구,0,37,4555.5,4356.1
"서울특별시 성북구 월계로52(하월곡동 79-107) 방천시장
입구 교차로 사거리 건널목 성명프라자앞",성북구,0,34,1354.6,1247.6
서울특별시 강북구 대한병원 마을버스 정류장(09-205) 노해로20,강북구,0,32,851,772.1
서울특별시 중구 청계3가 관수교 앞,중구,0,36,1468.2,1268
서울특별시 동작구 삼성래미안정류장(ID:20-593),동작구,0,40,1514.3,1410.9
서울특별시 서초구 강남대로 505(고도일병원) 앞,서초구,0,39,3801.7,3566.8
서울특별시 용산구 신용산 초등학교 건너편(이상윤동물병원앞),용산구,0,36,1140.8,1009.6
서울특별시 서대문구 천연동 통일로189(13133),서대문구,0,32,1604.9,1490.7
서울특별시 동대문구 황물로 42,동대문구,1,33,1367.2,1234.7
서울특별시 도봉구 쌍문역 1번 출구,도봉구,1,35,805.8,624.4
서울특별시 용산구 이태원 천하장사 앞,용산구,0,36,1140.8,1009.6
서울특별시 은평구 청운제일아파트 건너편,은평구,1,38,2311.2,2146.4
서울특별시 중구 손기정 체육공원 버스정류장,중구,1,36,1468.2,1268
서울특별시 용산구 용산푸르지오써밋오피스텔(해림턴부동산과스타부동산)앞 인도,용산구,0,36,1140.8,1009.6
서울특별시 은평구 응암로 154 대림오토바이,은평구,0,38,2311.2,2146.4
서울특별시 성북구 성신여대역 2번출구,성북구,0,34,1354.6,1247.6
서울특별시 도봉구 한일병원,도봉구,0,35,805.8,624.4
서울특별시 성동구 행당동19-100,성동구,0,34,2181.2,1442.1
서울특별시 용산구 한남오거리(순천향대학방면) 버스정류장(03-166),용산구,0,36,1140.8,1009.6
서울특별시 동작구 도로변,동작구,0,40,1514.3,1410.9
서울특별시 강동구 천호대로1097 (천호동447 강동역-상행선),강동구,0,37,4555.5,4356.1
서울특별시 용산구 소월로168번지(대한민국고엽제전우회앞),용산구,0,36,1140.8,1009.6
서울특별시 서초구 방배로 278 버스정류장 앞,서초구,0,39,3801.7,3566.8
서울특별시 중구 중앙시장 정문 건너편 버스정류장,중구,0,36,1468.2,1268
"서울특별시 성북구 종암경찰서,성가복지병원 방향",성북구,0,34,1354.6,1247.6
서울특별시 중구 을지로3가 버스정류장,중구,0,36,1468.2,1268
서울특별시 광진구 능동로36길 21(가죽모피 앞),광진구,0,33,1379.4,1290.4
서울특별시 강남구 신현대아파트 103동,강남구,0,32,3718,3059.5
서울특별시 구로구 경인로 518,구로구,0,37,1333.4,1111.4
서울특별시 마포구 월드컵북로137 (제일 성모병원 옆 횡단보도),마포구,0,34,1979.4,1753.4
서울특별시 강남구 대치동 984-12,강남구,0,32,3718,3059.5
서울특별시 은평구 통일로715 우리은행 앞,은평구,1,38,2311.2,2146.4
서울특별시 강남구 압구정역 1번출구,강남구,0,32,3718,3059.5
서울특별시 동대문구 왕산로 68 용두사거리,동대문구,0,33,1367.2,1234.7
서울특별시 동작구 신한은행 사당역지점 앞 or 경원빌딩,동작구,0,40,1514.3,1410.9
서울특별시 강서구 개화파출소앞16-167,강서구,2,38,2949.5,2213.8
서울특별시 강서구 황외과앞버스정류장(16-190),강서구,0,38,2949.5,2213.8
서울특별시 중구 장충동 버스정류장,중구,0,36,1468.2,1268
서울특별시 종로구 동대문역 동은빌딩 앞,종로구,0,36,882,735.3
"서울특별시 성북구 안암동4가25-1(대광초교버스정류장)
한국전기공사협회앞",성북구,0,34,1354.6,1247.6
서울특별시 강북구 번동주공아파트3단지 앞 버스정류장(09-183),강북구,0,32,851,772.1
서울특별시 도봉구 창포원 남측입구,도봉구,1,35,805.8,624.4
서울특별시 관악구 신림로 360,관악구,0,35,1666.5,1533.2
서울특별시 송파구 잠실중학교 앞,송파구,0,34,2353.1,2041.2
서울특별시 강동구 천호대로1131 (길동457-4 세븐일레븐 앞),강동구,0,37,4555.5,4356.1
서울특별시 양천구 신정3동 신정로7길 81-4 앞 버스정류장,양천구,0,39,1107.7,923.9
서울특별시 강남구 갤러리아(WEST점),강남구,0,32,3718,3059.5
서울특별시 중랑구 우림시장(07-165),중랑구,0,33,1585.9,1461.3
서울특별시 관악구 남부순환로 1682,관악구,0,35,1666.5,1533.2
서울특별시 강남구 한국자산관리공사,강남구,0,32,3718,3059.5
서울특별시 마포구 양화로 140 신촌설롱탕 앞,마포구,0,34,1979.4,1753.4
서울특별시 강동구 천중로145-6,강동구,0,37,4555.5,4356.1
서울특별시 강동구 천동초~천일초,강동구,0,37,4555.5,4356.1
서울특별시 송파구 마천동 남한산성 입구,송파구,0,34,2353.1,2041.2
서울특별시 금천구 시흥대로73길 70(금천구 보건소),금천구,0,35,1936.9,1798.5
서울특별시 구로구 구로동로 135,구로구,0,37,1333.4,1111.4
서울특별시 송파구 잠실본동 242-10 앞 사거리 주변,송파구,1,34,2353.1,2041.2
서울특별시 송파구 트리지움아파트 앞,송파구,0,34,2353.1,2041.2
서울특별시 관악구 주민센터 앞,관악구,0,35,1666.5,1533.2
서울특별시 서대문구 신촌동 신촌로149(13725),서대문구,0,32,1604.9,1490.7
서울특별시 동작구 청화산부인과앞,동작구,0,40,1514.3,1410.9
서울특별시 관악구 신림로 327,관악구,0,35,1666.5,1533.2
서울특별시 동작구 4호선 10번출구(한국전력공사 남부지사),동작구,0,40,1514.3,1410.9
서울특별시 강남구 일원동 613,강남구,0,32,3718,3059.5
서울특별시 중랑구 버스중앙차로 (07-014),중랑구,1,33,1585.9,1461.3
서울특별시 서대문구 홍은2동 연희로331 맞은편(13160),서대문구,0,32,1604.9,1490.7
서울특별시 강남구 수서동 수서역,강남구,0,32,3718,3059.5
"서울특별시 중구 을지로2가, 파인에비뉴 앞 버스정류장",중구,0,36,1468.2,1268
서울특별시 서대문구 신촌로 101(신촌지하철역 3번출구),서대문구,0,32,1604.9,1490.7
서울특별시 성북구 월곡로108. 월곡역 5번출구 앞 버스정류장 (08-132),성북구,0,34,1354.6,1247.6
서울특별시 송파구 장미(아) 2동 앞,송파구,0,34,2353.1,2041.2
서울특별시 강동구 1027 신한은행 앞,강동구,0,37,4555.5,4356.1
서울특별시 중랑구 면목역2번출구(07-228),중랑구,0,33,1585.9,1461.3
서울특별시 금천구 두산로 39,금천구,0,35,1936.9,1798.5
서울특별시 강남구 역삼빌딩,강남구,0,32,3718,3059.5
서울특별시 송파구 삼전동 48-9 버스정류장 주변,송파구,0,34,2353.1,2041.2
서울특별시 종로구 음식문화거리 자하문로1길12,종로구,2,36,882,735.3
"서울특별시 성북구 홍익대부속중고 입구 정류장(08-231)
성북로66",성북구,1,34,1354.6,1247.6
서울특별시 중구 퇴계로5가사거리 영수빌딩 앞 횡단보도,중구,0,36,1468.2,1268
서울특별시 노원구 하계1동 노원경찰서 앞 버스정류장,노원구,0,36,1591.5,1366.8
서울특별시 용산구 이촌2동부영주유소 건너편 버스정류장(03-288),용산구,0,36,1140.8,1009.6
서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 ISC통합지원센터,강서구,0,38,2949.5,2213.8
서울특별시 구로구 오류동 174-6(천왕역 4번출구 횡단보도),구로구,0,37,1333.4,1111.4
서울특별시 성동구 왕십리로363-1,성동구,0,34,2181.2,1442.1
"서울특별시 마포구 독막로 221, 마포차이나 정문에서 10m앞",마포구,0,34,1979.4,1753.4
서울특별시 강남구 대치동 897,강남구,0,32,3718,3059.5
서울특별시 구로구 개봉역,구로구,0,37,1333.4,1111.4
서울특별시 강북구 월계로 부동산랜드 번동점 앞,강북구,0,32,851,772.1
서울특별시 강서구 서남물재생센터(16-276),강서구,0,38,2949.5,2213.8
서울특별시 강동구 천호동 다성이즈빌아파트,강동구,0,37,4555.5,4356.1
서울특별시 강남구 강남구청역 3번출구,강남구,0,32,3718,3059.5
서울특별시 중랑구 용마폭포공원(07-206),중랑구,1,33,1585.9,1461.3
서울특별시 송파구 삼전동 7-6 삼전사거리 주변,송파구,0,34,2353.1,2041.2
서울특별시 강서구 화곡시장16-146,강서구,0,38,2949.5,2213.8
서울특별시 마포구 마포구청역 3번출구앞,마포구,0,34,1979.4,1753.4
서울특별시 성동구 행당동 196,성동구,0,34,2181.2,1442.1
서울특별시 강남구 삼성역 1번출구앞,강남구,0,32,3718,3059.5
서울특별시 영등포구 영등포구청 버스정류장(19-852),영등포구,0,34,2556.1,2377.5
서울특별시 강북구 북부수도사업소 앞,강북구,1,32,851,772.1
서울특별시 서초구 서운로 104 버스정류장 앞,서초구,1,39,3801.7,3566.8
서울특별시 금천구 시흥대로 215,금천구,0,35,1936.9,1798.5
서울특별시 동대문구 전농로 211,동대문구,0,33,1367.2,1234.7
서울특별시 관악구 남부순화로 1587,관악구,0,35,1666.5,1533.2
서울특별시 용산구 철우아파트 옆 버스정류장(03-261),용산구,0,36,1140.8,1009.6
서울특별시 금천구 가산디지털2로 123,금천구,0,35,1936.9,1798.5
서울특별시 강남구 대치동 1019-14,강남구,0,32,3718,3059.5
서울특별시 서대문구 통일로 안산초등학교 (13033),서대문구,0,32,1604.9,1490.7
서울특별시 성동구 207,성동구,0,34,2181.2,1442.1
서울특별시 도봉구 창도초교 중랑천변,도봉구,0,35,805.8,624.4
서울특별시 성동구 상왕십리역1-1주변,성동구,0,34,2181.2,1442.1
서울특별시 중랑구 우리은행망우동(07-192),중랑구,1,33,1585.9,1461.3
서울특별시 강남구 영동전화국,강남구,0,32,3718,3059.5
서울특별시 중구 중앙애견미용학원 앞,중구,0,36,1468.2,1268
서울특별시 도봉구 현대리바트 앞,도봉구,0,35,805.8,624.4
